Unnamed: 0,Sample Number,Low Dataset Index,High Dataset Index,Adaptive Gamma,Luminance Factor,Average Color Factor,Input PSNR,Input SSIM,AGCC PSNR,AGCC SSIM,AGCC NIQE,AGCC BRISQUE,Execution Time Seconds
0,0,15,0,2.166946,0.097918,0.097744,7.219328,0.230884,20.697016,0.707791,8.055364,25.216736,0.051898
1,1,16,1,2.240641,0.075576,0.076884,5.612231,0.187326,19.026527,0.635719,8.836182,20.605713,0.041413
2,2,17,2,2.177866,0.094532,0.095044,6.629548,0.259939,12.986299,0.651780,7.756428,29.423645,0.037828
3,3,18,3,2.244632,0.073729,0.080187,12.377198,0.429689,10.167313,0.491861,6.373273,36.366699,0.040357
4,4,22,7,2.287091,0.062000,0.061436,8.977614,0.210954,10.385170,0.453283,7.405632,21.633667,0.040801
...,...,...,...,...,...,...,...,...,...,...,...,...,...
446,446,995,510,2.306438,0.056249,0.055922,6.130777,0.135951,17.464726,0.628776,6.587980,24.095886,0.068947
447,447,996,511,2.313032,0.054459,0.052947,5.523705,0.119130,20.261151,0.631807,6.971407,25.066528,0.059746
448,448,997,512,2.424833,0.021619,0.021550,9.027162,0.093376,14.738192,0.348424,9.447002,46.626343,0.042792
449,449,998,513,2.418361,0.023582,0.022863,8.592518,0.094638,14.416096,0.352412,8.846845,41.591431,0.041946
450,450,999,514,2.362584,0.039659,0.040055,9.416645,0.136260,15.832281,0.437688,7.748816,47.378174,0.038953
