Unnamed: 0,PSNR,SSIM,NIQE,BRISQUE,Entropy,Contrast,Sharpness,Color Balance Error,Intensity Mean,Image Volume,Image ID,Method,Execution Time (sec),Adaptive Gamma,Luminance,Average Color Factor
0,7.219328,0.230884,6.436827,16.288757,5.475844,23.293422,56.346514,0.011313,24.639463,720000,1,Input Low-Light Image,0.0,,,
1,19.473614,0.756228,7.818577,17.600769,7.080656,52.436251,701.759089,0.00993,108.865608,720000,1,Original AGCC Paper Method,0.071115,2.166946,0.097918,0.097744
2,19.720239,0.740436,6.754935,34.535339,7.600852,57.773816,524.921879,0.009174,124.432083,720000,1,Improved Hybrid AGCC Method,0.152503,2.166946,0.097918,0.097744
3,5.612231,0.187326,8.652036,19.488464,5.108163,10.748498,44.905892,0.003111,19.307246,720000,111,Input Low-Light Image,0.0,,,
4,13.085936,0.701991,8.511107,8.808777,6.501762,26.786576,404.882937,0.007342,95.248762,720000,111,Original AGCC Paper Method,0.054549,2.240641,0.075576,0.076884
5,16.229698,0.809728,5.526224,34.10321,7.144881,37.764322,275.975608,0.006565,113.656929,720000,111,Improved Hybrid AGCC Method,0.24633,2.240641,0.075576,0.076884
6,6.629548,0.259939,6.788621,-1.68634,5.009975,12.739577,119.133133,0.007923,24.361833,720000,146,Input Low-Light Image,0.0,,,
7,14.460761,0.751986,7.193912,4.162292,6.166273,32.909886,871.912182,0.008765,93.121842,720000,146,Original AGCC Paper Method,0.045745,2.177866,0.094532,0.095044
8,16.856791,0.770498,4.917854,21.415222,6.773554,37.676107,300.432679,0.010192,109.149246,720000,146,Improved Hybrid AGCC Method,0.310741,2.177866,0.094532,0.095044
9,12.377198,0.429689,4.984233,-1.281555,4.749486,7.380061,103.634965,0.022701,19.902954,720000,179,Input Low-Light Image,0.0,,,
10,17.50245,0.707725,6.034344,11.070496,6.164116,20.498369,783.713654,0.031422,96.865742,720000,179,Original AGCC Paper Method,0.039317,2.244632,0.073729,0.080187
11,13.991568,0.599084,4.906467,24.746765,6.87387,32.029338,417.321575,0.034539,114.440496,720000,179,Improved Hybrid AGCC Method,0.204343,2.244632,0.073729,0.080187
