Unnamed: 0,Image ID,Method,PSNR,SSIM,NIQE,BRISQUE,Entropy,Contrast,Sharpness,Color Balance Error,Intensity Mean,Image Volume,Execution Time (sec)
0,1,Input Low-Light Image,7.2193,0.2309,6.4368,16.2888,5.4758,23.2934,56.3465,0.0113,24.6395,720000,0.0
1,1,Original AGCC Paper Method,19.4736,0.7562,7.8186,17.6008,7.0807,52.4363,701.7591,0.0099,108.8656,720000,0.0711
2,1,Improved Hybrid AGCC Method,19.7202,0.7404,6.7549,34.5353,7.6009,57.7738,524.9219,0.0092,124.4321,720000,0.1525
3,111,Input Low-Light Image,5.6122,0.1873,8.652,19.4885,5.1082,10.7485,44.9059,0.0031,19.3072,720000,0.0
4,111,Original AGCC Paper Method,13.0859,0.702,8.5111,8.8088,6.5018,26.7866,404.8829,0.0073,95.2488,720000,0.0545
5,111,Improved Hybrid AGCC Method,16.2297,0.8097,5.5262,34.1032,7.1449,37.7643,275.9756,0.0066,113.6569,720000,0.2463
6,146,Input Low-Light Image,6.6295,0.2599,6.7886,-1.6863,5.01,12.7396,119.1331,0.0079,24.3618,720000,0.0
7,146,Original AGCC Paper Method,14.4608,0.752,7.1939,4.1623,6.1663,32.9099,871.9122,0.0088,93.1218,720000,0.0457
8,146,Improved Hybrid AGCC Method,16.8568,0.7705,4.9179,21.4152,6.7736,37.6761,300.4327,0.0102,109.1492,720000,0.3107
9,179,Input Low-Light Image,12.3772,0.4297,4.9842,-1.2816,4.7495,7.3801,103.635,0.0227,19.903,720000,0.0
10,179,Original AGCC Paper Method,17.5025,0.7077,6.0343,11.0705,6.1641,20.4984,783.7137,0.0314,96.8657,720000,0.0393
11,179,Improved Hybrid AGCC Method,13.9916,0.5991,4.9065,24.7468,6.8739,32.0293,417.3216,0.0345,114.4405,720000,0.2043
12,22,Input Low-Light Image,6.1071,0.1838,6.6917,12.7658,5.2065,12.958,40.9815,0.0021,19.3641,720000,0.0
13,22,Original AGCC Paper Method,21.805,0.7013,7.0118,16.5812,7.1429,51.5597,1131.8967,0.0093,123.8683,720000,0.1627
14,22,Improved Hybrid AGCC Method,21.4743,0.7592,6.4209,33.4059,7.4853,55.6412,317.2454,0.0098,139.4119,720000,0.78
15,23,Input Low-Light Image,4.6465,0.0775,7.7573,15.5593,4.3563,7.4662,27.5618,0.0022,9.6145,720000,0.0
16,23,Original AGCC Paper Method,12.6291,0.4899,8.4486,37.8791,6.727,48.0453,2165.1288,0.0158,94.923,720000,0.0375
17,23,Improved Hybrid AGCC Method,18.0361,0.6654,4.7615,32.196,7.4629,59.5393,316.524,0.0202,125.608,720000,0.1381
18,493,Input Low-Light Image,10.8915,0.1966,6.9409,20.1467,4.0655,6.2628,16.3117,0.0015,6.414,720000,0.0
19,493,Original AGCC Paper Method,15.5553,0.4623,7.4552,27.799,6.855,53.701,3375.0831,0.0093,95.2178,720000,0.0534
20,493,Improved Hybrid AGCC Method,13.6214,0.5203,5.1712,33.0051,7.6482,60.0748,552.6711,0.0059,105.6565,720000,0.1759
21,547,Input Low-Light Image,8.9776,0.211,5.4784,-7.2278,4.9129,7.8357,55.5123,0.0019,15.8152,720000,0.0
22,547,Original AGCC Paper Method,15.1765,0.5516,7.1882,15.7707,7.0852,39.1624,1528.935,0.0089,142.1129,720000,0.0471
