Unnamed: 0,R Mean,G Mean,B Mean,R Standard Deviation,G Standard Deviation,B Standard Deviation,RGB Mean Balance Error,Image ID,Method
0,0.0824,0.1014,0.1094,0.0671,0.0985,0.1265,0.0113,1,Input Low-Light Image
1,0.4114,0.4357,0.4225,0.1881,0.2109,0.2761,0.0099,1,Original AGCC Paper Method
2,0.4736,0.4961,0.4841,0.2059,0.233,0.2884,0.0092,1,Improved Hybrid AGCC Method
3,0.4911,0.4962,0.4692,0.24,0.2762,0.3445,0.0117,1,Ground Truth
4,0.074,0.0755,0.0812,0.0438,0.0415,0.0453,0.0031,111,Input Low-Light Image
5,0.3666,0.375,0.3845,0.1253,0.1002,0.0979,0.0073,111,Original AGCC Paper Method
6,0.4403,0.4464,0.4562,0.1602,0.1449,0.1406,0.0066,111,Improved Hybrid AGCC Method
7,0.5907,0.5839,0.5786,0.1728,0.1637,0.1743,0.0049,111,Ground Truth
8,0.1059,0.0919,0.0873,0.0545,0.0501,0.0447,0.0079,146,Input Low-Light Image
9,0.3772,0.3606,0.3572,0.1385,0.1323,0.1206,0.0088,146,Original AGCC Paper Method
10,0.4419,0.4229,0.4183,0.1521,0.1506,0.1405,0.0102,146,Improved Hybrid AGCC Method
11,0.5768,0.5275,0.4937,0.2281,0.2085,0.1777,0.0341,146,Ground Truth
12,0.1123,0.0631,0.0652,0.0523,0.031,0.0408,0.0227,179,Input Low-Light Image
13,0.4269,0.3596,0.3609,0.1322,0.0959,0.1076,0.0314,179,Original AGCC Paper Method
14,0.5002,0.4268,0.427,0.1449,0.1386,0.1427,0.0345,179,Improved Hybrid AGCC Method
15,0.4164,0.2219,0.2139,0.188,0.107,0.1309,0.0936,179,Ground Truth
16,0.0787,0.075,0.0737,0.0512,0.0506,0.054,0.0021,22,Input Low-Light Image
17,0.4926,0.4853,0.4703,0.2041,0.1998,0.234,0.0093,22,Original AGCC Paper Method
18,0.5558,0.545,0.532,0.2137,0.2173,0.2442,0.0098,22,Improved Hybrid AGCC Method
19,0.5654,0.5136,0.5066,0.2182,0.2528,0.272,0.0262,22,Ground Truth
20,0.0353,0.0395,0.0344,0.0288,0.0301,0.0299,0.0022,23,Input Low-Light Image
21,0.358,0.3844,0.3467,0.2036,0.1839,0.2164,0.0158,23,Original AGCC Paper Method
22,0.483,0.5047,0.4553,0.2322,0.2293,0.2753,0.0202,23,Improved Hybrid AGCC Method
23,0.6126,0.5568,0.548,0.2275,0.2664,0.2861,0.0286,23,Ground Truth
24,0.0255,0.0244,0.0279,0.0259,0.0246,0.0342,0.0015,493,Input Low-Light Image
25,0.3641,0.3809,0.3591,0.2527,0.2098,0.2813,0.0093,493,Original AGCC Paper Method
26,0.4097,0.4187,0.4043,0.267,0.2305,0.2972,0.0059,493,Improved Hybrid AGCC Method
27,0.2817,0.2415,0.2127,0.2143,0.1984,0.2036,0.0283,493,Ground Truth
28,0.0635,0.0619,0.0589,0.0304,0.0313,0.0348,0.0019,547,Input Low-Light Image
29,0.5621,0.5579,0.5416,0.159,0.154,0.1812,0.0089,547,Original AGCC Paper Method
30,0.6464,0.6388,0.6228,0.1813,0.188,0.2083,0.0098,547,Improved Hybrid AGCC Method
31,0.4123,0.3842,0.3812,0.1403,0.1632,0.1735,0.014,547,Ground Truth
32,0.0367,0.04,0.0327,0.0309,0.0329,0.0323,0.003,55,Input Low-Light Image
33,0.3707,0.3921,0.342,0.216,0.1979,0.2308,0.0205,55,Original AGCC Paper Method
